product_code,total_sales,total_prev_week_1_sales,total_prev_week_2_sales,total_weeks,sales_trend
1380010170.0,24.75,14.85,4.95,3,Rising
1380010172.0,153.45,128.7,103.95,6,Rising
1380010321.0,74.25,59.4,49.5,4,Rising
1380010334.0,21.98,10.99,0.0,2,Rising
1380010340.0,83.41,79.02,61.46,6,Rising
1380010390.0,52.69,38.32,33.53,5,Rising
1380010393.0,99.0,89.1,64.35,6,Rising
1380012007.0,168.3,128.7,108.9,7,Rising
1380013660.0,57.48,52.69,47.9,7,Rising
1380014333.0,113.31,88.13,75.54,6,Rising
1380016607.0,43.11,38.32,19.16,6,Rising
1380016608.0,4.79,0.0,0.0,1,Almost
1380016619.0,19.16,9.58,4.79,3,Rising
1380016635.0,33.53,28.74,23.95,5,Rising
1380016651.0,13.05,8.7,0.0,2,Rising
1380016661.0,9.58,4.79,0.0,2,Rising
1380016668.0,34.8,30.45,26.1,5,Rising
1380016686.0,34.8,30.45,26.1,5,Rising
1380016695.0,28.74,19.16,9.58,3,Rising
1380018803.0,73.95,43.5,39.15,6,Rising
1380018807.0,19.16,14.37,4.79,3,Rising
1380019003.0,31.98,15.99,0.0,2,Rising
1380019020.0,37.77,25.18,12.59,3,Rising
1380019021.0,37.77,25.18,12.59,3,Rising
1380019023.0,68.97,45.98,22.99,3,Rising
1380019074.0,37.77,25.18,12.59,3,Rising
1380019086.0,12.59,0.0,0.0,1,Almost
1380023260.0,303.81,255.84,223.86,7,Rising
1380023270.0,255.84,223.86,175.89,5,Rising
1380044677.0,75.54,37.77,12.59,3,Rising
1380044784.0,24.75,19.8,9.9,4,Rising
